File: airs-bp
Type: alloc_objects
Time: Aug 26, 2023 at 7:15pm (UTC)
Showing nodes accounting for 6802207, 85.28% of 7975890 total
Dropped 397 nodes (cum <= 39879)
      flat  flat%   sum%        cum   cum%
         0     0% 85.28%     207353  2.60%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).build.func1
         0     0% 85.28%     254686  3.19%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).forEach
         0     0% 85.28%      55774   0.7%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs
         0     0% 85.28%     115600  1.45%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).BuildRawEvent
         0     0% 85.28%     379707  4.76%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).CUDs
         0     0% 85.28%      60986  0.76%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).build
         0     0% 85.28%      72158   0.9%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).regenerateIDs
         0     0% 85.28%     365914  4.59%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals
         0     0% 85.28%      43691  0.55%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1.2
         0     0% 85.28%      65536  0.82%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).PutInt32
         0     0% 85.28%     638978  8.01%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).build
         0     0% 85.28%     166571  2.09%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeToBytes
         0     0% 85.28%      59994  0.75%  github.com/voedger/voedger/pkg/istructsmem.(*recordType).copyFrom (inline)
         0     0% 85.28%      42756  0.54%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutNumber
         0     0% 85.28%      68186  0.85%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).copyFrom
         0     0% 85.28%      91282  1.14%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).loadFromBytes
         0     0% 85.28%     567820  7.12%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setDef
         0     0% 85.28%     476538  5.97%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQName
