File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 5:44pm (UTC)
Showing nodes accounting for 5555279, 87.55% of 6345515 total
Dropped 358 nodes (cum <= 31727)
      flat  flat%   sum%        cum   cum%
         0     0% 87.55%      45901  0.72%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyOrders
         0     0% 87.55%      59165  0.93%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateDailyWaiters
         0     0% 87.55%      38750  0.61%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateHourlySales
         0     0% 87.55%     277255  4.37%  github.com/untillpro/airs-bp3/packages/air/dashboard.glob..func1
         0     0% 87.55%      38172   0.6%  github.com/untillpro/airs-bp3/packages/air/edit.execCmdPbill
         0     0% 87.55%      38463  0.61%  github.com/untillpro/airs-bp3/packages/air/ordersdates.glob..func1
         0     0% 87.55%      35082  0.55%  github.com/untillpro/airs-bp3/packages/air/pbilldates.glob..func1
         0     0% 87.55%      98565  1.55%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3.1
         0     0% 87.55%      85327  1.34%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3.2
         0     0% 87.55%     245457  3.87%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.1
         0     0% 87.55%     182861  2.88%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.2
         0     0% 87.55%     183408  2.89%  github.com/untillpro/airs-bp3/packages/untill.Provide (inline)
         0     0% 87.55%      43691  0.69%  github.com/untillpro/dynobuffers.(*Buffer).Get (inline)
         0     0% 87.55%     559767  8.82%  github.com/untillpro/dynobuffers.(*Buffer).ToBytes
         0     0% 87.55%     559767  8.82%  github.com/untillpro/dynobuffers.(*Buffer).ToBytesNilled
         0     0% 87.55%      32768  0.52%  github.com/untillpro/dynobuffers.(*Buffer).encodeArray
         0     0% 87.55%     559767  8.82%  github.com/untillpro/dynobuffers.(*Buffer).encodeBuffer
         0     0% 87.55%      97940  1.54%  github.com/untillpro/dynobuffers.(*Buffer).encodeBuffer.func1
         0     0% 87.55%      43691  0.69%  github.com/untillpro/dynobuffers.(*Buffer).getByField
         0     0% 87.55%     480752  7.58%  github.com/untillpro/dynobuffers.NewBuffer
         0     0% 87.55%      32768  0.52%  github.com/untillpro/dynobuffers.encodeByteArr
         0     0% 87.55%     188052  2.96%  github.com/untillpro/dynobuffers.encodeFixedSizeValue
         0     0% 87.55%     480752  7.58%  github.com/untillpro/dynobuffers.getBuffer (inline)
         0     0% 87.55%      40414  0.64%  github.com/untillpro/ibusmem.(*resultSenderClosable).SendElement
         0     0% 87.55%     179351  2.83%  github.com/voedger/voedger/pkg/appdef.(*fields).Fields
         0     0% 87.55%     337588  5.32%  github.com/voedger/voedger/pkg/apps.Parse
