File: airs-bp
Type: cpu
Time: Aug 24, 2023 at 5:25pm (UTC)
Duration: 10s, Total samples = 1.13s (11.30%)
Showing nodes accounting for 1.12s, 99.12% of 1.13s total
      flat  flat%   sum%        cum   cum%
         0     0% 99.12%      0.05s  4.42%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).keepReading
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).keepReading.func1
         0     0% 99.12%      0.08s  7.08%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).DoAsync
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).Flush
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).flush
         0     0% 99.12%      0.04s  3.54%  github.com/voedger/voedger/pkg/projectors.newSyncBranch.func1
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/projectors.syncActualizerFactory.func3
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/router.requestHandler.func1
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/router.writeResponse
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/state.(*bundledHostState).CanExist
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/state.(*bundledHostState).FlushBundles
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/state.(*hostState).ApplyIntents
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/state.(*hostState).CanExist
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/state.(*hostState).KeyBuilder
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/state.(*hostState).UpdateValue
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/state.(*recordsStorage).ProvideValueBuilderForUpdate
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/state.(*recordsStorageValue).AsString
         0     0% 99.12%      0.04s  3.54%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).Get
