File: airs-bp
Type: cpu
Time: Aug 26, 2023 at 7:23pm (UTC)
Duration: 10.15s, Total samples = 1.17s (11.53%)
Showing nodes accounting for 1.17s, 100% of 1.17s total
      flat  flat%   sum%        cum   cum%
     0.22s 18.80% 18.80%      0.22s 18.80%  runtime/internal/syscall.Syscall6
         0     0%   100%      0.09s  7.69%  net/http.(*conn).serve
         0     0%   100%      0.03s  2.56%  net/http.(*connReader).Read
         0     0%   100%      0.04s  3.42%  net/http.(*response).Flush
         0     0%   100%      0.04s  3.42%  net/http.(*response).FlushError
         0     0%   100%      0.06s  5.13%  net/http.HandlerFunc.ServeHTTP
         0     0%   100%      0.04s  3.42%  net/http.checkConnErrorWriter.Write
         0     0%   100%      0.06s  5.13%  net/http.serverHandler.ServeHTTP
         0     0%   100%      0.01s  0.85%  net/url.(*URL).Query
         0     0%   100%      0.01s  0.85%  net/url.ParseQuery (inline)
         0     0%   100%      0.01s  0.85%  runtime.(*limiterEvent).stop
         0     0%   100%      0.01s  0.85%  runtime.acquirep
         0     0%   100%      0.01s  0.85%  runtime.assertE2I2
         0     0%   100%      0.01s  0.85%  runtime.assertI2I2
         0     0%   100%      0.01s  0.85%  runtime.callers
         0     0%   100%      0.01s  0.85%  runtime.callers.func1
         0     0%   100%      0.05s  4.27%  runtime.chansend
         0     0%   100%      0.03s  2.56%  runtime.chansend1
         0     0%   100%      0.03s  2.56%  runtime.checkTimers
         0     0%   100%      0.01s  0.85%  runtime.deductAssistCredit
         0     0%   100%      0.03s  2.56%  runtime.entersyscall
         0     0%   100%      0.03s  2.56%  runtime.entersyscall_sysmon
         0     0%   100%      0.02s  1.71%  runtime.execute
         0     0%   100%      0.01s  0.85%  runtime.findObject
         0     0%   100%      0.29s 24.79%  runtime.findRunnable
         0     0%   100%      0.07s  5.98%  runtime.futexsleep
         0     0%   100%      0.09s  7.69%  runtime.futexwakeup
